task,method,trainable_parameters,total_parameters,runtime_seconds,path,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,lora_rank,lora_alpha,lora_targets,trainable_ratio,runtime_minutes
mnli,full,124647939,124647939,22768.40022301674,/root/CS5782-LoRA-Final-Project/results/mnli_full/summary.json,0.4660894572734833,0.8598064187468161,0.8594145304179376,0.8595707790436541,0.8592216244286345,,29.5417,332.243,5.213,3.0,8,16,"query,value",1.0,379.473337050279
mnli,frozen,592899,124647939,2405.83505487442,/root/CS5782-LoRA-Final-Project/results/mnli_frozen/summary.json,0.9976709485054016,0.5333672949566989,0.5381840828444564,0.5343107683497994,0.5337371228956093,,68.6565,142.958,2.243,3.0,8,16,"query,value",0.004756588875488747,40.09725091457367
mnli,lora,887811,124942851,19447.589051008224,/root/CS5782-LoRA-Final-Project/results/mnli_lora/summary.json,0.39182552695274353,0.8495160468670403,0.8483651643005393,0.8485716767648852,0.8484414843180151,,45.1584,217.346,3.41,3.0,8,16,"query,value",0.0071057366859669305,324.1264841834704
mrpc,full,124647170,124647170,413.31172037124634,/root/CS5782-LoRA-Final-Project/results/mrpc_full/summary.json,0.5415898561477661,0.8725490196078431,0.8821548821548821,0.9390681003584229,0.9097222222222222,,4.143,98.479,1.69,3.0,8,16,"query,value",1.0,6.888528672854106
mrpc,frozen,592130,124647170,48.58343744277954,/root/CS5782-LoRA-Final-Project/results/mrpc_frozen/summary.json,0.617306649684906,0.6838235294117647,0.6838235294117647,1.0,0.8122270742358079,,1.157,352.633,6.05,3.0,8,16,"query,value",0.004750448806820083,0.809723957379659
mrpc,lora,887042,124942082,139.2216694355011,/root/CS5782-LoRA-Final-Project/results/mrpc_lora/summary.json,0.5183084011077881,0.7058823529411765,0.7086614173228346,0.967741935483871,0.8181818181818182,,2.2577,180.714,3.1,3.0,8,16,"query,value",0.007099625568909601,2.320361157258352
qnli,full,124647170,124647170,9353.297199726105,/root/CS5782-LoRA-Final-Project/results/qnli_full/summary.json,0.28396326303482056,0.9108548416620904,0.9134545454545454,0.9098152843172763,0.9116312828887679,,38.7938,140.821,2.217,3.0,8,16,"query,value",1.0,155.88828666210173
qnli,frozen,592130,124647170,2124.0092380046844,/root/CS5782-LoRA-Final-Project/results/qnli_frozen/summary.json,0.6487962007522583,0.6630056745377998,0.6758409785932722,0.6403477001086563,0.6576157708759531,,28.4065,192.315,3.027,3.0,8,16,"query,value",0.004750448806820083,35.40015396674474
qnli,lora,887042,124942082,2227.1695835590363,/root/CS5782-LoRA-Final-Project/results/qnli_lora/summary.json,0.242441788315773,0.90481420464946,0.9136212624584718,0.896414342629482,0.9049360146252285,,48.6605,112.268,1.767,3.0,8,16,"query,value",0.007099625568909601,37.11949305931727
qqp,full,124647170,124647170,20383.742681741714,/root/CS5782-LoRA-Final-Project/results/qqp_full/summary.json,0.4168544113636017,0.8041058619836755,0.7258577080225695,0.7518978837756131,0.7386483632523759,,57.9518,697.649,10.906,3.0,8,16,"query,value",1.0,339.7290446956952
qqp,frozen,592130,124647170,6655.473180294037,/root/CS5782-LoRA-Final-Project/results/qqp_frozen/summary.json,0.5081579685211182,0.7514469453376206,0.6890243902439024,0.5921397379912664,0.6369187411930484,,162.7065,248.484,3.884,3.0,8,16,"query,value",0.004750448806820083,110.92455300490062
qqp,lora,887042,124942082,14341.229964494705,/root/CS5782-LoRA-Final-Project/results/qqp_lora/summary.json,0.28944268822669983,0.8736087064061341,0.805068347793521,0.8665099093046691,0.8346599365818935,,242.1946,166.932,2.609,3.0,8,16,"query,value",0.007099625568909601,239.0204994082451
sst2,full,124647170,124647170,6333.229631662369,/root/CS5782-LoRA-Final-Project/results/sst2_full/summary.json,0.29342377185821533,0.9197247706422018,0.9137168141592921,0.9301801801801802,0.921875,,7.4531,116.999,1.878,3.0,8,16,"query,value",1.0,105.55382719437281
sst2,frozen,592130,124647170,384.4566786289215,/root/CS5782-LoRA-Final-Project/results/sst2_frozen/summary.json,0.46183428168296814,0.8061926605504587,0.7701375245579568,0.8828828828828829,0.8226652675760755,,1.2629,690.458,11.085,3.0,8,16,"query,value",0.004750448806820083,6.407611310482025
sst2,lora,887042,124942082,2473.469144821167,/root/CS5782-LoRA-Final-Project/results/sst2_lora/summary.json,0.20933319628238678,0.9346330275229358,0.9309576837416481,0.9414414414414415,0.9361702127659575,,3.5242,247.432,3.973,3.0,8,16,"query,value",0.007099625568909601,41.22448574701945
cola,full,124647170,124647170,359.0559329986572,/root/CS5782-LoRA-Final-Project/results/cola_full/summary.json,0.6218762993812561,0.8264621284755513,0.8276699029126213,0.9459084604715673,0.8828478964401294,0.572700939299986,3.0222,345.11,5.625,3.0,8,16,"query,value",1.0,5.9842655499776205
cola,frozen,592130,124647170,216.4398639202118,/root/CS5782-LoRA-Final-Project/results/cola_frozen/summary.json,0.6106286644935608,0.6912751677852349,0.6912751677852349,1.0,0.8174603174603174,0.0,6.0921,171.205,2.791,3.0,8,16,"query,value",0.004750448806820083,3.6073310653368633
cola,lora,887042,124942082,302.1538550853729,/root/CS5782-LoRA-Final-Project/results/cola_lora/summary.json,0.49779394268989563,0.7938638542665388,0.7962529274004684,0.9431345353675451,0.8634920634920635,0.48304108757820724,4.6635,223.65,3.645,3.0,8,16,"query,value",0.007099625568909601,5.035897584756215
